BIỂU MẪU NHẬP DỮ LIỆU THỦ TỤC HÀNH CHÍNH (ĐỒNG BỘ MÃ QR VÀ CÁC CỘT),,,,,,,,,,,,
"Lưu ý: Không đổi tên các cột ở Hàng 3. Cột ""Nội dung đưa vào mã QR"" có thể điền link URL hoặc nội dung văn bản để quét QR.",,,,,,,,,,,,
STT,Mã TTHC (*),Tên Thủ tục Hành chính (*),Lĩnh vực (*),"Bộ, ngành quản lý (*)",Cấp thực hiện / Thẩm quyền (*),Căn cứ pháp lý / Quyết định,Nội dung đưa vào mã QR (URL / Văn bản),BCCI Tiếp nhận (Có/Không),BCCI Trả kết quả (Có/Không),Bộ phận Một cửa (Có/Không),Dịch vụ công trực tuyến (Toàn trình/Một phần/Không),Dùng chung (Có/Không)
1,1.014352,Thủ tục tuyển chọn chuyên gia,Lao động,Bộ Nội vụ,Cấp xã,,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfb-2b1c-77cf-a8b2-ffd3765a24c3,Có,Có,Có,Toàn trình,Có
2,2.001661,"Hỗ trợ học văn hóa, học nghề, trợ cấp khó khăn ban đầu cho nạn nhân","Phòng, chống tệ nạn xã hội",Bộ Y tế,Cấp xã,,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bff-5454-72fb-ab3d-7430bfdda821,Không,Có,Có,Một phần,Không
3,1.013855,"Cấp giấy chứng nhận cơ sở đủ điều kiện an toàn thực phẩm đối với cơ sở kinh doanh dịch vụ ăn uống, cơ sở sản xuất thực phẩm thuộc phạm vi quản lý của Bộ Y tế",An toàn thực phẩm,Bộ Y tế,Cấp xã,,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bff-2d33-76fe-bd90-4f37b18e4401,Có,Có,Có,Một phần,Có
4,1.013797,"THỦ TỤC ĐỀ NGHỊ TỔ CHỨC CUỘC LỄ NGOÀI CƠ SỞ TÔN GIÁO, ĐỊA ĐIỂM HỢP PHÁP ĐÃ ĐĂNG KÝ CÓ QUY MÔ TỔ CHỨC Ở MỘT XÃ","Tín ngưỡng, tôn giáo",Bộ Dân tộc và Tôn giáo,Cấp xã,,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf8-6244-7287-9a22-2ea431452b97,Có,Có,Có,Toàn trình,Có
5,1.012223,"Đưa ra khỏi danh sách và thay thế, bổ sung người có uy tín",Công tác dân tộc,Bộ Dân tộc và Tôn giáo,Cấp xã,,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf8-523b-764d-976a-7739bdce7672,Không,Có,Có,Toàn trình,Có
6,"1,014947",THỦ TỤC QUỸ TỰ GIẢI THỂ (Cấp xã),"Quản lý nhà nước về hội, quỹ",Bộ Nội vụ,Cấp xã,,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d90dd-f017-732b-a670-c6d743b193fd,,,,,
7,1.014159,Cung cấp thông tin quy hoạch đô thị và nông thôn,Quy hoạch đô thị và nông thôn,Bộ Xây dựng,Cấp xã,,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfe-9852-71ed-96f2-8110da8fd4f0,,,,,
8,"1,004563","Sáp nhập, chia, tách trường tiểu học",Giáo dục tiểu học,Bộ Giáo dục và Đào tạo,Cấp xã,,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf8-a0e4-750f-947b-2b7f9827739a,,,,,
9,2.001842,Cho phép trường tiểu học hoạt động giáo dục,Giáo dục tiểu học,Bộ Giáo dục và Đào tạo,Cấp xã,,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf8-cfba-774b-96cf-bc2a6fcc9116,,,,,
10,1.014155,"Thẩm định nhiệm vụ quy hoạch, nhiệm vụ điều chỉnh quy hoạch đô thị và nông thôn do nhà đầu tư đã được lựa  chọn để thực hiện dự án đầu tư tổ chức lập",Quy hoạch đô thị và nông thôn,Bộ Xây dựng,Cấp xã,,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfe-985b-7039-916e-3d9fd71710d8,,,,,
11,1.001639,"Giải thể trường tiểu học (theo đề nghị của tổ chức, cá nhân đề nghị thành lập trường tiểu học)",Giáo dục tiểu học,Bộ Giáo dục và Đào tạo,Cấp xã,,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf8-98e3-713b-b56c-5206304e813a,,,,,
12,1.013226,"Cấp điều chỉnh giấy phép xây dựng đối với công trình cấp III, cấp IV (công trình Không theo tuyến/Theo tuyến trong đô thị/Tín ngưỡng, tôn giáo/Tượng đài, tranh hoành tráng/Theo giai đoạn cho công trình không theo tuyến/Theo giai đoạn cho công trình theo tuyến trong đô thị/Dự án) và nhà ở riêng lẻ",Hoạt động xây dựng,Bộ Xây dựng,Cấp xã,,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfe-9097-7135-94e7-f539d8b0cc19,,,,,
